background, person, image, K, BER, SNR
1, 1, 1, 1, 0.005981211046734779, 5
1, 1, 1, 1, 0.0023714656480178387, 6
1, 1, 1, 1, 0.0007128104837972694, 7
1, 1, 1, 2, 0.08133807321843071, 1
1, 1, 1, 2, 0.055151426534827186, 2
1, 1, 1, 2, 0.033465538354687185, 3
1, 1, 1, 2, 0.018665582219947727, 4
1, 1, 1, 2, 0.0091203187542266, 5
1, 1, 1, 2, 0.0035274980352018714, 6
1, 1, 1, 2, 0.0011925867709685085, 7
1, 1, 1, 4, 0.060698554274121325, 1
1, 1, 1, 4, 0.03265220331548261, 2
1, 1, 1, 4, 0.015133514886772797, 3
1, 1, 1, 4, 0.005231846179153035, 4
1, 1, 1, 4, 0.0014621753513790142, 5
1, 1, 1, 4, 0.000479776287171239, 6
1, 1, 1, 4, 1.8277191892237677e-05, 7
1, 1, 1, 8, 0.08121470217315811, 1
1, 1, 1, 8, 0.04442728419205673, 2
1, 1, 1, 8, 0.01959771900645185, 3
1, 1, 1, 8, 0.007260614479191417, 4
1, 1, 1, 8, 0.0018459963811160054, 5
1, 1, 1, 8, 0.0005026227770365361, 6
1, 1, 1, 8, 2.7415787838356515e-05, 7
1, 1, 1, 16, 0.0844817502238956, 1
1, 1, 1, 16, 0.03831813280207629, 2
1, 1, 1, 16, 0.01274377204686272, 3
1, 1, 1, 16, 0.0025222524811287996, 4
1, 1, 1, 16, 0.00046606839325206073, 5
1, 1, 1, 16, 0.0, 6
1, 1, 1, 16, 0.0, 7
1, 1, 1, 32, 0.10263557107086067, 1
1, 1, 1, 32, 0.03814449947910003, 2
1, 1, 1, 32, 0.008613126679217004, 3
1, 1, 1, 32, 0.0013113885182680534, 4
1, 1, 1, 32, 0.0001462175351379014, 5
1, 1, 1, 32, 0.0, 6
1, 1, 1, 32, 0.0, 7
1, 1, 1, 64, 0.11827627803264307, 1
1, 1, 1, 64, 0.03656809167839453, 2
1, 1, 1, 64, 0.004816040063604627, 3
1, 1, 1, 64, 0.00036097453987169413, 4
1, 1, 1, 64, 0.0, 5
1, 1, 1, 64, 0.0, 6
1, 1, 1, 64, 0.0, 7
1, 1, 1, 128, 0.14445835541827354, 1
1, 1, 1, 128, 0.02769451501471314, 2
1, 1, 1, 128, 0.00244000511761373, 3
1, 1, 1, 128, 0.0, 4
1, 1, 1, 128, 0.0, 5
1, 1, 1, 128, 0.0, 6
1, 1, 1, 128, 0.0, 7
1, 1, 2, 1, 0.055490621695330325, 1
1, 1, 2, 1, 0.03737407469249179, 2
1, 1, 2, 1, 0.02209606500807035, 3
1, 1, 2, 1, 0.012522958757722491, 4
1, 1, 2, 1, 0.0058162186230311125, 5
1, 1, 2, 1, 0.002504591751544498, 6
1, 1, 2, 1, 0.0006261479378861245, 7
1, 1, 2, 2, 0.08220626704513831, 1
1, 1, 2, 2, 0.05390438025268548, 2
1, 1, 2, 2, 0.03400679022652641, 3
1, 1, 2, 2, 0.01922969889241387, 4
1, 1, 2, 2, 0.008863471920743585, 5
1, 1, 2, 2, 0.003603829242500139, 6
1, 1, 2, 2, 0.0012801246730116324, 7
1, 1, 2, 4, 0.06113986753492514, 1
1, 1, 2, 4, 0.032879723938331384, 2
1, 1, 2, 4, 0.01687816552568598, 3
1, 1, 2, 4, 0.005802304224411421, 4
1, 1, 2, 4, 0.001781043023320532, 5
1, 1, 2, 4, 0.00026437357377414146, 6
1, 1, 2, 4, 0.0, 7
1, 1, 2, 8, 0.08423776924361329, 1
1, 1, 2, 8, 0.04314855011966383, 2
1, 1, 2, 8, 0.018951410920020038, 3
1, 1, 2, 8, 0.007986864807703012, 4
1, 1, 2, 8, 0.0018784438136583738, 5
1, 1, 2, 8, 0.00023654477653475817, 6
1, 1, 2, 8, 2.7828797239383314e-05, 7
1, 1, 2, 16, 0.08581009628763844, 1
1, 1, 2, 16, 0.03772193465798408, 2
1, 1, 2, 16, 0.012898647520454167, 3
1, 1, 2, 16, 0.001906272610897757, 4
1, 1, 2, 16, 0.00037568876273167475, 5
1, 1, 2, 16, 0.0, 6
1, 1, 2, 16, 0.0, 7
1, 1, 2, 32, 0.1002393276562587, 1
1, 1, 2, 32, 0.039127288918572936, 2
1, 1, 2, 32, 0.007207658485000278, 3
1, 1, 2, 32, 0.0017114710302220738, 4
1, 1, 2, 32, 0.0, 5
1, 1, 2, 32, 0.0, 6
1, 1, 2, 32, 0.0, 7
1, 1, 2, 64, 0.1170757499860856, 1
1, 1, 2, 64, 0.03779150665108254, 2
1, 1, 2, 64, 0.0054683586575388216, 3
1, 1, 2, 64, 0.00040351755997105807, 4
1, 1, 2, 64, 0.0001669727834362999, 5
1, 1, 2, 64, 0.0, 6
1, 1, 2, 64, 0.0, 7
1, 1, 2, 128, 0.14523849279234152, 1
1, 1, 2, 128, 0.024489341570657318, 2
1, 1, 2, 128, 0.0028663661156564813, 3
1, 1, 2, 128, 0.0007792063227027328, 4
1, 1, 2, 128, 0.0, 5
1, 1, 2, 128, 0.0, 6
1, 1, 2, 128, 0.0, 7
1, 1, 3, 1, 0.05603795903005538, 1
1, 1, 3, 1, 0.03824130329587612, 2
1, 1, 3, 1, 0.023522770041400076, 3
1, 1, 3, 1, 0.012554438410667241, 4
1, 1, 3, 1, 0.005497607398247217, 5
1, 1, 3, 1, 0.0022313027582128073, 6
1, 1, 3, 1, 0.0006989623098016023, 7
1, 1, 3, 2, 0.08046131512446905, 1
1, 1, 3, 2, 0.054640034410452176, 2
1, 1, 3, 2, 0.03400720468842411, 3
1, 1, 3, 2, 0.01916769718802086, 4
1, 1, 3, 2, 0.009167159524705629, 5
1, 1, 3, 2, 0.0037098768751008117, 6
1, 1, 3, 2, 0.0008333781386096027, 7
1, 1, 3, 4, 0.05992257648260659, 1
1, 1, 3, 4, 0.032878111726436905, 2
1, 1, 3, 4, 0.01578041830205925, 3
1, 1, 3, 4, 0.0056051400612936175, 4
1, 1, 3, 4, 0.0017742889402656058, 5
1, 1, 3, 4, 0.00024194849185440076, 6
1, 1, 3, 4, 4.032474864240013e-05, 7
1, 1, 3, 8, 0.08101242002258185, 1
1, 1, 3, 8, 0.04529813430829614, 2
1, 1, 3, 8, 0.020511855476100866, 3
1, 1, 3, 8, 0.006882090434969622, 4
1, 1, 3, 8, 0.0019490295177160063, 5
1, 1, 3, 8, 0.0005376633152320017, 6
1, 1, 3, 8, 0.00013441582880800043, 7
1, 1, 3, 16, 0.08609333835152427, 1
1, 1, 3, 16, 0.03523038873057691, 2
1, 1, 3, 16, 0.012137749341362438, 3
1, 1, 3, 16, 0.00314533039410721, 4
1, 1, 3, 16, 0.0003494811549008011, 5
1, 1, 3, 16, 0.0, 6
1, 1, 3, 16, 0.0, 7
1, 1, 3, 32, 0.10015323404484112, 1
1, 1, 3, 32, 0.041937738588096136, 2
1, 1, 3, 32, 0.009973654497553632, 3
1, 1, 3, 32, 0.001276950373676004, 4
1, 1, 3, 32, 0.0, 5
1, 1, 3, 32, 0.0, 6
1, 1, 3, 32, 0.0, 7
1, 1, 3, 64, 0.1262836711651164, 1
